Period,AUT,AUS,BEL,CAN,CHE,CHL,COL,CZE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HUN,IRL,ISR,ITA,JPN,KOR,LUX,MEX,NLD,NOR,NZL,POL,PRT,SWE,TUR,USA
1990-03,96.9,121.3,90.3,130.8,197.3,62.4,,,107.7,156.1,74.7,117.5,117.6,112.6,42.6,59.7,70.7,,62.7,205.9,108.4,,21.1,159.3,176.6,95.8,,81,150.5,15.1,125
1990-06,98.9,121.2,92.1,132.2,198.6,60,,,106.2,155,75.8,122.2,118.4,114.1,42.3,59.1,71.3,,63.5,204.3,110.1,,22.9,162,177.6,95.5,,82,152.3,15.2,125
1990-09,99.4,120.6,92.5,133.7,197.8,58.6,,,105.7,153.1,76,126.8,118.6,113.8,40.8,59.4,75.5,,61.6,206,110.4,,22.9,163.4,174.3,97.4,,78.3,154.1,15.4,124.7
1990-12,101.2,121,93.1,134.8,196.6,63.5,,,106.3,155.6,75.6,128.9,123.7,114.7,39.8,60,76.7,75.7,68,207.6,115.9,,24.9,164.4,170.8,98.8,,77.1,155.9,16.5,124.6
1991-03,100.2,122.6,94.6,136.7,196,60.5,,,105,152,76.2,130.7,124.4,115.3,39.3,57.9,79.4,77.5,64.7,205.6,119.7,,25,166.6,168.8,101.7,,78.8,152.8,16.2,123.9
1991-06,102,121.6,95.8,138.1,197.3,58.1,,,105.2,153.4,77.1,133.6,125.5,117.1,38.7,55.7,81.4,76.4,67,204.5,119.9,,26.6,165.2,168.6,106.1,,81.7,150.2,16.3,124.2
1991-09,101.5,119.6,95.7,139.3,196.2,57.6,,,106.6,150.3,76.9,138.8,126,116.3,37,55,82.5,76.7,66.1,204.6,122,,27.8,164.9,163.5,105.9,,81.8,148.1,16.2,123.2
1991-12,103,120.2,96.4,141.1,195.6,58.1,,,107.3,152.3,77.5,141.8,128,114.7,37.2,55.7,82.7,76.5,70.4,206.3,122,,31.5,167,158.9,105.1,,82.3,146.8,17.3,122.6
1992-03,101.4,119.6,95.7,141.2,195.6,56.1,,,107.2,151,75.4,147.4,129.1,113.9,35.8,52.9,82.1,74.1,69.4,204.9,122.6,,32.4,168.6,164.7,106.4,30.8,79.6,147.7,16.6,121.5
1992-06,102.8,119.4,97.1,142.6,195.9,57.1,,,107.9,150.1,76,153.4,129.6,113,37.4,53,82.5,73.8,70.8,204.8,122.9,,34.3,169.8,162.4,104.9,29.7,80.3,149.3,17.2,120.5
1992-09,103.6,120.4,96.7,142.9,195.7,58.5,,,108.2,147.7,76.4,159.6,129,112.4,37.2,51.9,82.1,74.9,70.8,205.4,124.5,,35.8,171.9,160.2,108.6,28.5,81.9,151.3,16.8,119.7
1992-12,104.9,117.7,106.5,142.7,195.6,61.3,,,107.9,145.7,77.9,163.6,132.4,115.8,37,48.4,86.8,78.5,74.5,208.6,126.2,,37.5,173.4,164.4,108.6,26.5,85.7,153.4,17.7,118.7
1993-03,104.2,115.9,107.8,144.2,196.6,62.6,,92.4,109.7,144.4,77.3,159.8,135.4,113.2,36.4,48.3,89.2,80.3,73.9,208.5,127.5,,38.3,175.7,162.9,106,25.9,85.4,154.6,18.2,117.7
1993-06,105,113.4,109.1,144.1,196.7,63.9,,92.7,111.3,144.8,78.3,156.2,137.6,112.6,37.2,47.4,87.2,81.7,74,209.2,129.2,,40,174.7,162.5,107.5,25.7,89,155.2,18.7,117.8
1993-09,104.6,113.5,109.3,145.3,194.8,65.6,,91.5,113,145.5,78,152.1,138.3,112.8,36.8,46.7,85.5,81.2,72.7,211.3,132.5,,41.3,173.9,157.7,108.7,25.4,89.8,154.7,18.5,118
1993-12,105.4,112.2,110.2,144.8,190.8,68.9,,90.2,115.7,147.1,78.6,145.4,137,114.3,35.2,46.6,89,85.9,74.9,213.6,130.9,,42.6,176.2,156.1,112.3,24.9,94.5,153.8,19.1,118.4
1994-03,103.6,111.8,109.9,144.8,190.7,67.8,,88.8,113.5,147.2,76.6,145.2,135.8,112.1,34.3,46.2,86.9,85.5,71.5,212.6,131.7,,44,179.4,154.2,114.3,24.3,93.6,151.3,21.3,118.2
1994-06,104.6,112.5,110.7,144.1,190.9,66.6,,89.1,114.2,144.7,76.3,143.1,133.6,109.6,35.4,47.7,86.1,86.9,71.3,211.3,133.2,,45.4,180.4,151.5,112,23.2,93.3,148.7,20.7,118.3
1994-09,104.1,112.9,111.1,142.9,191,67.1,,88.3,115.2,140.8,75.1,140,131.5,109.5,34.4,48.7,85,87.8,69.2,212.6,136.2,,46.1,180.5,150.1,112.8,22,93,146.6,18.5,118.2
1994-12,105,112.9,110.8,142.3,190.7,67.7,,88.7,116.4,138,74.8,136.8,132.3,110.9,35.8,48.9,87.1,90.2,71.5,214.2,135.1,,47.2,181.4,146.6,112.9,21.7,96.3,144,19,118.8
1995-03,102.7,113.2,109.8,143,191.3,68.4,,85.1,112.8,137.4,81.8,132.3,130.6,109.9,34.8,47.7,86.9,90.2,70.3,213.3,135.7,109.3,48.3,181.2,145.1,113.7,21,93.6,140.6,17.8,118.6
1995-06,103.5,113.6,109.1,141.8,191.7,66.2,,83.6,114,137.7,81.5,127.7,131.6,110.5,35.1,47.3,87.3,88.2,70.8,211.2,136.5,110.3,48.6,182.8,144.6,116.2,20.6,93.2,137.2,16.4,119.5
1995-09,103.8,113.5,107.1,141.9,191.1,68.4,,82.1,114.3,137.2,80.3,123.9,131,109.9,35.2,47.2,86.5,86.4,69.3,211.7,136.7,110.4,48.1,180.8,143,116.3,20.8,92.9,134.1,16.3,120.1
1995-12,106.5,114.2,106.4,141.9,193.2,72.6,,80.2,115.3,138.7,79.8,118.4,130.8,112,36,45,88.7,88.2,69.8,212.5,136.5,111.2,46.9,180.1,142.1,123.9,21.7,93.4,131.4,19.3,120.8
1996-03,103.4,114.7,106.8,142,195.6,73.9,,81.1,116.1,140.8,78.6,117,129.9,109.2,36.2,43.8,87.8,88.4,68.4,210.8,137.9,107.1,44.2,182.9,142.2,121.6,21.8,98,130.5,19.9,121.1
1996-06,106.3,115.5,108.6,142.1,196.3,74.2,,82.1,117.5,140.9,79.3,116.8,129.7,109.7,36.7,43.8,88,90.1,68.2,208.8,140.5,108.6,42.1,184.7,142.3,124.3,22.3,99.4,128.4,20.2,121.6
1996-09,108.2,114.3,109.6,142.2,195.5,77,,80.9,118.6,141.1,78.5,115.9,128.8,109.4,36.8,44.6,88,89.9,67.2,207.7,144.9,107.1,40.3,185.8,140.5,119.5,23.5,100.1,128.2,21,121.8
1996-12,108.7,115.9,110.4,142,196.5,80.7,47.6,80.4,120.2,141.1,79.5,115.2,129.6,108.7,36.6,48.1,87.9,90.6,68.2,208.5,145.6,111.8,38.7,187.5,139.4,122.3,25.4,102.3,130.2,23.8,121.6
1997-03,107.8,115.8,113.1,144.2,198,82.1,49.2,90.6,120.6,141.8,79.8,116.7,130.3,108.2,37,47.2,89,90.4,67.2,205,150.8,122.2,38.2,193.9,142.2,122.9,26.1,104.6,139.9,24.2,121.3
1997-06,111.5,117.3,115.2,144.7,198.1,82.1,50.6,91.6,121.6,143.1,81,117.4,130.6,110,38.2,48.3,94.3,93.8,67.7,203.9,151.6,132.4,37,197.7,146.8,124.9,26.4,104.3,139.6,25.6,121.8
1997-09,113.3,118.2,116.6,145.1,196.3,84.2,52.7,89.3,122.1,144.7,81.8,117.9,130,112.1,38.3,48.5,95.6,93.6,66.6,203.3,153.3,145.3,34.6,200,147.7,127.9,26.9,104.1,139.1,25.6,122.5
1997-12,113.6,121.3,117.6,145.1,195.4,88.4,54.2,88.9,123.2,145.4,82.7,116.6,129.8,112,38.5,49.7,97.1,95,67.7,206.2,160.3,155,33,192.4,150.5,134.5,27.1,106.1,136.4,28.6,122.9
1998-03,110.8,121.7,117.3,146.5,194.8,90.9,53.9,86.9,123.2,145.5,83.5,113.9,129.5,113.6,40.7,49.3,101.6,93.9,67.1,203.2,158.9,149.9,32.7,197.5,154.6,131.9,28.7,112,139,27.5,123.6
1998-06,112.3,124.5,120.6,148.7,194.7,93.8,54.2,83.7,123.8,146.6,86.1,111.8,129.1,115.2,41,50.5,102.8,95.8,67.5,202.8,158.6,143.4,32.4,198.4,160.9,135.1,30.3,113.3,138.7,28.1,125.5
1998-09,112.8,125.3,122.1,150.8,192.3,94.1,55.5,80.9,125.1,146.7,86.4,109.9,128.5,118.9,40.7,51,103.3,97.5,66.6,203.8,162.6,137.6,32.2,201.7,162.3,137.2,32.1,114.8,141.3,25.4,126.5
1998-12,114.3,126.6,123.7,151.3,191.6,95.7,54.4,76.7,127.6,145,88.7,108.7,127.9,120,41.8,49.3,106.2,102.4,68.3,199.3,159.3,127.2,30.2,202.9,165.3,138.5,33.5,118.9,141.2,25.8,127.7
1999-03,113.5,127.8,128.7,149.9,196.2,99.2,54.7,78.9,125.3,150.5,92.5,111.7,128.1,123.1,43.6,50.5,110.4,101.2,68.5,195.9,164.9,130.3,29.3,207.7,167.7,137.6,34.8,120.1,143.8,25.6,128.7
