0,AUS,AUT,BEL,CAN,CHL,COL,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ISR,ITA,JPN,KOR,LVA,LTU,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,SVN,ESP,SWE,CHE,TUR,GBR,USA
1994-01,88.9,102.96,98.61,109.56,110.69,105.74,53.7,99.39,38.57,105.58,113.29,117.12,98.17,85.3,104.71,100.11,90.73,100.96,164.09,116.91,54.6,37.78,97.95,154.51,97.73,87.39,117.04,74.72,94.8,47.29,86.81,92.98,135.45,93.2,130.0,114.84,88.69
1994-02,90.27,102.43,99.22,105.86,110.39,108.46,53.48,98.62,40.13,106.83,112.75,117.28,96.55,84.33,103.9,98.47,90.68,101.01,170.65,116.33,57.31,38.55,98.37,153.66,97.33,87.47,116.36,73.67,94.76,47.35,86.49,93.34,136.92,93.46,115.08,113.1,88.19
1994-03,88.97,103.39,99.95,103.52,110.08,109.73,53.51,99.25,44.34,106.25,113.74,118.85,99.07,83.69,103.6,98.11,90.63,100.62,172.27,116.46,58.2,39.03,98.78,145.15,98.71,86.37,117.43,73.55,93.81,47.51,87.4,93.6,136.49,93.83,101.35,112.73,88.3
1994-04,89.2,102.75,99.68,101.87,111.84,110.76,53.74,98.98,45.06,106.7,112.71,118.29,99.1,84.46,103.59,98.83,91.72,103.65,174.85,115.6,59.07,38.57,98.59,143.5,98.31,85.52,116.98,74.21,94.37,47.49,88.19,94.31,137.48,93.23,77.27,112.87,88.21
1994-05,89.61,103.29,100.41,101.39,112.37,109.98,53.42,100.03,45.82,106.4,113.67,119.19,99.17,84.32,103.3,99.57,90.88,104.24,172.72,115.1,58.48,40.22,98.97,145.09,98.96,87.04,117.64,73.68,93.9,47.4,88.93,93.7,138.15,92.58,82.48,113.06,87.45
1994-06,90.17,103.6,100.94,100.89,112.99,111.49,53.93,100.54,46.32,105.94,114.36,119.83,98.66,83.67,103.23,99.97,90.04,102.87,172.35,114.96,59.24,40.39,99.13,142.85,99.22,87.67,118.56,73.92,93.94,47.17,90.04,94.02,134.69,93.99,89.54,113.17,87.14
1994-07,88.85,105.4,102.42,100.48,112.43,112.86,54.0,101.48,48.12,107.93,115.17,121.41,98.55,83.92,103.46,100.85,89.77,102.16,176.4,114.03,59.65,40.13,99.71,140.84,100.53,88.09,119.7,73.18,95.67,47.01,91.62,95.28,132.3,95.17,89.32,111.25,85.96
1994-08,89.23,106.04,102.54,100.44,112.88,113.85,54.14,101.1,48.47,108.9,115.09,121.71,98.68,79.55,103.21,100.2,90.12,100.54,173.22,114.54,60.36,40.83,99.73,141.71,100.78,88.11,119.32,73.15,96.38,47.58,92.31,95.23,132.14,95.62,86.44,111.04,85.73
1994-09,88.52,104.89,102.09,101.74,113.16,111.89,54.42,100.96,49.51,111.33,115.32,120.72,100.42,79.94,103.05,100.38,90.55,100.65,173.68,113.22,60.59,41.3,100.03,140.94,101.5,87.8,119.25,74.74,96.32,48.39,93.23,95.19,135.28,96.46,87.88,111.43,84.76
1994-10,87.44,105.06,102.16,101.43,113.16,110.86,54.72,101.87,50.22,116.86,115.88,120.97,100.97,81.01,102.33,101.63,90.81,100.63,173.81,112.23,62.24,42.5,100.47,140.3,102.05,88.39,120.22,75.37,96.5,48.83,94.57,95.51,138.15,96.87,93.91,112.56,84.08
1994-11,89.7,104.45,101.81,100.89,113.32,113.37,55.41,101.76,50.2,115.83,115.05,120.44,100.36,81.62,102.28,100.92,92.45,99.48,173.97,112.62,62.32,43.55,100.53,140.12,101.12,89.99,119.17,75.64,96.64,48.95,95.58,95.13,137.24,95.14,98.63,112.04,84.27
1994-12,93.26,104.03,101.5,99.81,117.93,116.41,55.72,101.1,50.19,114.08,114.17,120.12,101.01,82.04,101.97,100.45,93.96,98.07,170.57,114.41,62.56,45.18,100.43,122.87,100.31,92.81,118.83,76.15,96.42,49.21,95.45,94.37,136.0,94.05,102.03,111.94,86.12
1995-01,91.69,105.08,102.31,98.38,117.11,116.58,56.25,101.36,51.96,114.61,114.8,121.5,100.34,83.53,102.49,101.2,93.34,97.8,169.61,114.74,63.42,46.42,100.81,89.28,101.01,93.05,120.33,77.67,97.88,49.34,96.98,93.28,135.01,96.15,100.93,111.2,88.03
1995-02,88.96,105.54,103.07,99.06,114.69,118.88,56.63,102.16,53.55,115.54,115.05,123.03,99.67,84.29,103.12,100.5,92.47,96.44,170.38,114.16,64.99,47.47,101.18,91.85,102.1,92.38,120.95,77.67,98.55,49.18,98.31,93.82,135.04,96.91,101.37,109.99,87.25
1995-03,85.57,108.24,105.43,97.82,113.9,118.0,56.79,103.81,56.52,118.2,116.99,127.17,102.06,80.9,102.66,99.5,90.55,89.29,182.0,113.39,67.12,46.51,102.71,80.46,105.34,92.4,123.31,77.48,100.24,49.31,101.51,92.51,132.53,101.4,99.03,108.63,86.03
1995-04,83.59,108.27,105.74,98.8,116.45,116.71,56.99,105.8,57.1,118.82,118.06,126.9,103.03,78.76,102.27,100.58,90.0,86.42,193.97,111.98,69.11,46.25,102.84,93.37,105.47,93.23,122.28,77.8,99.88,49.14,101.96,94.26,129.13,102.27,101.65,107.21,82.62
1995-05,83.23,107.16,104.47,100.04,122.14,117.75,56.89,105.58,57.22,118.08,115.37,124.81,102.58,78.9,101.85,100.59,90.01,91.01,191.35,113.22,68.61,47.04,102.22,101.32,103.93,93.89,121.33,79.78,98.68,48.89,101.69,95.7,131.13,100.19,103.16,107.2,82.18
1995-06,82.32,107.17,104.48,98.53,123.69,118.97,57.03,105.37,57.5,117.6,116.02,124.52,103.03,77.57,101.9,100.65,90.34,91.52,191.26,112.42,67.58,46.08,102.23,99.92,103.55,94.12,121.88,81.32,98.07,48.32,101.59,96.28,130.59,100.35,106.03,106.81,82.23
1995-07,83.89,107.85,104.99,100.0,123.2,117.36,56.87,105.5,57.83,118.02,117.05,125.19,100.88,76.89,102.3,101.52,91.14,92.77,184.04,114.17,65.63,46.25,101.97,103.91,103.63,94.94,122.4,79.19,98.28,48.56,101.22,97.03,131.46,99.95,103.57,105.92,82.19
1995-08,88.13,107.1,103.62,100.89,124.36,114.26,56.82,104.42,56.48,118.42,116.99,122.81,100.16,76.37,101.94,101.37,91.74,95.65,170.97,116.75,63.8,46.93,100.84,104.93,102.17,94.06,121.7,78.81,98.5,48.95,99.4,96.57,133.48,99.2,102.62,107.1,84.25
1995-09,90.96,105.6,102.88,101.6,123.61,112.57,57.15,104.27,57.08,116.96,116.55,122.09,101.51,76.5,101.72,101.21,93.07,96.02,161.88,118.68,63.38,47.75,100.78,105.47,102.58,94.52,121.76,80.97,97.85,49.36,98.73,95.95,137.07,100.58,111.34,107.68,85.23
1995-10,90.93,106.39,104.0,101.41,119.92,110.33,57.52,105.26,59.22,117.28,116.8,123.63,101.72,76.3,101.71,101.22,93.45,94.98,159.48,118.2,63.2,47.92,101.8,100.28,103.88,94.51,122.23,81.14,98.32,49.39,98.12,96.67,140.94,102.42,114.46,106.99,85.23
1995-11,89.89,105.93,104.01,101.56,118.78,110.1,57.79,105.32,59.31,117.13,118.15,123.21,101.34,76.3,101.15,101.01,93.23,96.18,157.46,118.08,63.41,49.5,101.62,90.19,103.61,94.48,121.33,80.92,98.29,49.44,97.35,97.35,146.05,102.57,115.43,105.89,86.18
1995-12,89.75,105.28,103.39,100.26,120.29,112.82,57.91,104.45,60.08,115.42,117.4,122.61,102.13,76.36,100.93,100.83,92.65,97.39,158.02,118.96,64.32,51.15,101.26,93.41,102.63,94.56,120.4,81.79,97.47,49.62,95.88,97.95,146.24,101.68,111.13,105.82,86.37
1996-01,90.29,105.06,103.44,100.31,120.73,112.94,58.89,103.92,61.69,113.39,116.99,121.5,101.32,78.55,101.04,101.33,93.56,98.89,151.68,118.33,65.78,52.68,100.54,99.48,102.18,96.91,119.79,85.27,98.04,49.65,94.48,98.44,144.84,101.26,112.53,105.51,86.8
1996-02,91.71,104.71,103.13,99.4,120.18,114.97,58.97,104.02,63.82,110.98,116.31,121.71,100.24,78.86,100.96,100.89,94.75,99.97,150.54,119.47,66.54,53.8,100.22,100.73,102.08,98.35,120.28,85.18,97.99,49.5,93.67,98.25,141.43,99.85,109.76,106.23,86.78
1996-03,93.64,104.46,102.31,100.17,120.58,115.17,58.85,103.69,64.21,109.51,116.64,120.5,103.16,79.43,100.84,100.24,95.95,101.01,150.03,119.81,67.18,54.97,99.8,101.83,102.29,98.74,119.9,85.37,98.04,49.53,93.88,97.84,145.12,99.91,106.89,105.96,86.83
1996-04,95.73,103.5,101.32,100.52,122.39,116.55,59.05,102.69,64.83,107.02,116.35,118.7,104.58,79.77,100.86,100.75,95.81,101.95,148.45,120.58,67.36,56.05,99.3,106.1,101.4,98.65,119.53,86.38,98.48,49.63,94.43,98.09,146.78,98.6,107.93,106.17,86.68
1996-05,97.32,102.79,100.15,99.93,124.1,116.72,59.4,101.88,64.4,107.58,115.62,117.48,105.93,80.39,101.44,101.03,95.23,103.83,150.17,121.1,67.89,56.68,98.79,108.09,100.08,98.95,119.05,86.53,97.97,49.47,94.34,97.34,145.8,96.12,107.28,107.19,86.79
1996-06,97.13,103.04,100.14,100.26,123.66,117.51,59.53,101.91,64.58,109.17,115.41,117.87,106.56,80.35,101.07,101.92,95.69,104.9,146.29,119.02,68.56,56.65,98.78,108.17,99.51,98.22,119.48,85.79,97.89,49.16,94.47,96.24,147.38,95.84,107.77,109.09,87.1
1996-07,96.7,103.45,101.19,99.79,123.31,119.65,61.17,102.51,65.13,110.43,115.99,118.89,105.41,79.65,101.09,103.01,97.73,104.82,145.44,117.34,68.49,56.23,98.88,108.63,100.2,100.25,120.52,84.84,98.52,48.99,95.28,96.73,146.71,96.77,103.28,108.46,87.15
1996-08,95.32,103.7,102.0,99.13,122.89,122.41,62.11,103.16,65.36,111.98,115.31,119.59,104.64,78.82,101.69,102.77,98.46,104.63,146.15,116.37,68.3,55.94,99.26,111.25,100.66,99.98,120.43,84.15,99.38,49.13,95.7,97.16,145.38,98.76,101.96,107.81,86.53
