,Period,FEDFUNDS
0,1990-01,8.23
1,1990-02,8.24
2,1990-03,8.28
3,1990-04,8.26
4,1990-05,8.18
5,1990-06,8.29
6,1990-07,8.15
7,1990-08,8.13
8,1990-09,8.2
9,1990-10,8.11
10,1990-11,7.81
11,1990-12,7.31
12,1991-01,6.91
13,1991-02,6.25
14,1991-03,6.12
15,1991-04,5.91
16,1991-05,5.78
17,1991-06,5.9
18,1991-07,5.82
19,1991-08,5.66
20,1991-09,5.45
21,1991-10,5.21
22,1991-11,4.81
23,1991-12,4.43
24,1992-01,4.03
25,1992-02,4.06
26,1992-03,3.98
27,1992-04,3.73
28,1992-05,3.82
29,1992-06,3.76
30,1992-07,3.25
31,1992-08,3.3
32,1992-09,3.22
33,1992-10,3.1
34,1992-11,3.09
35,1992-12,2.92
36,1993-01,3.02
37,1993-02,3.03
38,1993-03,3.07
39,1993-04,2.96
40,1993-05,3.0
41,1993-06,3.04
42,1993-07,3.06
43,1993-08,3.03
44,1993-09,3.09
45,1993-10,2.99
46,1993-11,3.02
47,1993-12,2.96
48,1994-01,3.05
49,1994-02,3.25
50,1994-03,3.34
51,1994-04,3.56
52,1994-05,4.01
53,1994-06,4.25
54,1994-07,4.26
55,1994-08,4.47
56,1994-09,4.73
57,1994-10,4.76
58,1994-11,5.29
59,1994-12,5.45
60,1995-01,5.53
61,1995-02,5.92
62,1995-03,5.98
63,1995-04,6.05
64,1995-05,6.01
65,1995-06,6.0
66,1995-07,5.85
67,1995-08,5.74
68,1995-09,5.8
69,1995-10,5.76
70,1995-11,5.8
71,1995-12,5.6
72,1996-01,5.56
73,1996-02,5.22
74,1996-03,5.31
75,1996-04,5.22
76,1996-05,5.24
77,1996-06,5.27
78,1996-07,5.4
79,1996-08,5.22
80,1996-09,5.3
81,1996-10,5.24
82,1996-11,5.31
83,1996-12,5.29
84,1997-01,5.25
85,1997-02,5.19
86,1997-03,5.39
87,1997-04,5.51
88,1997-05,5.5
89,1997-06,5.56
90,1997-07,5.52
91,1997-08,5.54
92,1997-09,5.54
93,1997-10,5.5
94,1997-11,5.52
95,1997-12,5.5
96,1998-01,5.56
97,1998-02,5.51
98,1998-03,5.49
99,1998-04,5.45
100,1998-05,5.49
101,1998-06,5.56
102,1998-07,5.54
103,1998-08,5.55
104,1998-09,5.51
105,1998-10,5.07
106,1998-11,4.83
107,1998-12,4.68
108,1999-01,4.63
109,1999-02,4.76
110,1999-03,4.81
111,1999-04,4.74
112,1999-05,4.74
113,1999-06,4.76
114,1999-07,4.99
115,1999-08,5.07
116,1999-09,5.22
117,1999-10,5.2
118,1999-11,5.42
119,1999-12,5.3
120,2000-01,5.45
121,2000-02,5.73
122,2000-03,5.85
123,2000-04,6.02
124,2000-05,6.27
125,2000-06,6.53
126,2000-07,6.54
127,2000-08,6.5
128,2000-09,6.52
129,2000-10,6.51
130,2000-11,6.51
131,2000-12,6.4
132,2001-01,5.98
133,2001-02,5.49
134,2001-03,5.31
135,2001-04,4.8
136,2001-05,4.21
137,2001-06,3.97
138,2001-07,3.77
139,2001-08,3.65
140,2001-09,3.07
141,2001-10,2.49
142,2001-11,2.09
143,2001-12,1.82
144,2002-01,1.73
145,2002-02,1.74
146,2002-03,1.73
147,2002-04,1.75
148,2002-05,1.75
149,2002-06,1.75
150,2002-07,1.73
151,2002-08,1.74
152,2002-09,1.75
153,2002-10,1.75
154,2002-11,1.34
155,2002-12,1.24
156,2003-01,1.24
157,2003-02,1.26
158,2003-03,1.25
159,2003-04,1.26
160,2003-05,1.26
161,2003-06,1.22
162,2003-07,1.01
163,2003-08,1.03
164,2003-09,1.01
165,2003-10,1.01
166,2003-11,1.0
167,2003-12,0.98
168,2004-01,1.0
169,2004-02,1.01
170,2004-03,1.0
171,2004-04,1.0
172,2004-05,1.0
173,2004-06,1.03
174,2004-07,1.26
175,2004-08,1.43
176,2004-09,1.61
177,2004-10,1.76
178,2004-11,1.93
179,2004-12,2.16
180,2005-01,2.28
181,2005-02,2.5
182,2005-03,2.63
183,2005-04,2.79
184,2005-05,3.0
185,2005-06,3.04
186,2005-07,3.26
187,2005-08,3.5
188,2005-09,3.62
189,2005-10,3.78
190,2005-11,4.0
191,2005-12,4.16
192,2006-01,4.29
193,2006-02,4.49
194,2006-03,4.59
195,2006-04,4.79
196,2006-05,4.94
197,2006-06,4.99
198,2006-07,5.24
