Date,Country,CPI,IP,LongRate,ShortRate,Stocks,Inflation_YoY,Inflation_MoM,IP_Growth_YoY,Term_Spread,Real_Short_Rate,Real_Stock_Return
1957-03-01,USA,11.7544311167553,21.0202841087237,3.41,2.96,1.14942528735636,3.543749807088702,0.21559476550639034,4.0820807892837045,0.4500000000000002,-0.5837498070887022,-2302.800687759552
1957-04-01,USA,11.7839648632798,20.740021635784,3.48,3.0,2.72727272727272,3.6460473133571862,0.25094116054248217,1.3605256659744593,0.48,-0.6460473133571862,86.15306299248165
1957-05-01,USA,11.8134986098044,20.6126114620766,3.6,3.0,3.31858407079645,3.525714988684816,0.25031302181260057,1.9976025033989715,0.6000000000000001,-0.525714988684816,19.373296817615902
1957-06-01,USA,11.8599087829143,20.765463761309,3.8,3.0,0.856531049250546,3.4748338538493018,0.39208747432326807,3.4957996647134637,0.7999999999999998,-0.47483385384930177,-135.83237925622026
1957-07-01,USA,11.8936616360852,20.765463761309,3.93,2.99,1.69851380042462,3.2446970405775453,0.28419202075832206,7.6469154848014265,0.94,-0.25469704057754505,68.17764240048243
1957-08-01,USA,11.9316335959024,20.7910056598752,3.93,3.24,-5.01043841336116,3.4901905542758787,0.3187535902348272,3.2383122513849285,0.69,-0.25019055427587844,-2302.9038465842805
1957-09-01,USA,11.9485100224878,20.6126114620766,3.92,3.47,-3.51648351648353,3.485173995752945,0.1413427797144282,0.7443106038044165,0.44999999999999973,-0.015173995752944869,-35.547535744533825
1957-10-01,USA,11.9485100224878,20.2303809409546,3.97,3.5,-5.92255125284737,2.9018693889031373,0.0,-2.118799832670284,0.4700000000000002,0.5981306110968627,52.13058216574742
1957-11-01,USA,11.9864819823051,19.7972661687826,3.72,3.28,-1.45278450363194,3.2191620929614926,0.3172927040583468,-3.912417812116565,0.4400000000000004,0.06083790703850722,-140.84581757198848
1958-02-01,USA,12.1088360750495,18.5488061033165,3.05,1.67,-0.240963855421686,3.1861102068985354,0.2092780673134566,-12.871169042448022,1.38,-1.5161102068985355,-2302.794371061359
1958-03-01,USA,12.1805608880376,18.344969779993,2.98,1.2,1.20772946859906,3.5611025323190013,0.5905870909268496,-13.613247098165399,1.78,-2.361102532319001,-2303.1756800849726
1958-04-01,USA,12.2100946345621,18.0392651815283,2.88,1.26,-0.715990453460618,3.552334124625837,0.2421727528493236,-13.951446491833522,1.6199999999999999,-2.292334124625837,-2302.827265746895
1958-05-01,USA,12.2100946345621,18.2430017318106,2.92,0.63,3.12499999999997,3.3020211028132387,0.0,-12.212155563404377,2.29,-2.672021102813239,-2302.5850929940457
1958-06-01,USA,12.197437314623,18.8036264507312,2.97,0.93,2.56410256410258,2.8062171109814655,-0.1037165175085047,-9.924146308171897,2.04,-1.8762171109814654,-19.6788578154819
1958-07-01,USA,12.1889991013303,18.9564787499635,3.2,0.68,3.4090909090909,2.4528209352121837,-0.06920415501094715,-9.114545099085127,2.52,-1.7728209352121835,28.55291618696503
1958-08-01,USA,12.2100946345621,19.3641513966106,3.54,1.53,3.95604395604397,2.306988017496805,0.1729206725194453,-7.1096982484027915,2.01,-0.7769880174968049,14.70696580301228
1958-09-01,USA,12.197437314623,19.5424458213678,3.76,1.76,2.74841437632134,2.0619287202738654,-0.1037165175085047,-5.331428661085499,1.9999999999999998,-0.3019287202738654,-36.31832048005338
1958-10-01,USA,12.197437314623,19.6444138695502,3.8,1.8,3.49794238683129,2.0619287202738654,0.0,-2.939246504756416,1.9999999999999998,-0.2619287202738654,24.115075118612744
1958-11-01,USA,12.2143137412084,20.3833330132282,3.74,2.27,3.18091451292244,1.8829008152901894,0.1382647990746657,2.9173701876885927,1.4700000000000002,0.38709918470981064,-9.638881600643899
1958-12-01,USA,12.2227519545012,20.4342172642781,3.86,2.42,1.73410404624279,1.7409910491318306,0.069060776226147,5.2474306839828495,1.44,0.6790089508681694,-60.736846573195585
1959-01-01,USA,12.2396283810866,20.7909058868339,4.02,2.48,4.54545454545453,1.2836256040870198,0.13797863520508574,9.102868081828992,1.5399999999999996,1.1963743959129802,96.22570661192903
1959-02-01,USA,12.2354092744402,21.173136407956,3.96,2.43,-0.362318840579709,1.0398707220893684,-0.03447681468421023,13.232780162072949,1.5299999999999998,1.3901292779106318,-2302.5506161793614
1959-03-01,USA,12.2227519545012,21.5043829049869,3.99,2.8,3.09090909090911,0.34578181064164126,-0.10350182052086968,15.890135991353697,1.1900000000000004,2.4542181893583583,-2302.481591173525
1959-04-01,USA,12.2269710611475,21.9630395757251,4.12,2.96,1.41093474426807,0.13812156891955504,0.03451251112724363,19.681024018447093,1.1600000000000001,2.821878431080445,-78.45579529888997
1959-05-01,USA,12.2522857010257,22.2687441741898,4.31,2.9,2.26086956521736,0.34494687532586543,0.20682530640628274,19.940254902204856,1.4099999999999997,2.5550531246741346,46.94288256480313
