,Period,raw_eom,ema_eom
0,1990-01,25.36,20.785888736201663
1,1990-02,21.99,21.896706554468985
2,1990-03,19.73,20.87654655958631
3,1990-04,19.52,21.111400981711526
4,1990-05,17.37,19.389960261775354
5,1990-06,15.5,18.002858511713512
6,1990-07,21.11,18.368142523281723
7,1990-08,29.9,23.942257158656503
8,1990-09,29.11,26.532564005155756
9,1990-10,30.04,28.280395371393627
10,1990-11,22.16,26.053061179186187
11,1990-12,26.38,24.783386881800062
12,1991-01,20.91,25.846339956262142
13,1991-02,21.23,23.633254307038637
14,1991-03,16.88,20.484207481818693
15,1991-04,18.24,18.797323417015882
16,1991-05,15.93,17.635632362630762
17,1991-06,19.55,17.43733005721331
18,1991-07,15.18,17.24178222927682
19,1991-08,14.46,16.389651139553372
20,1991-09,15.85,16.590029388029514
21,1991-10,15.48,16.408069396661695
22,1991-11,20.26,17.37456840098376
23,1991-12,19.31,17.69143023674125
24,1992-01,17.4,17.64046095961212
25,1992-02,16.68,17.48547153657042
26,1992-03,16.18,17.396022288443103
27,1992-04,15.53,16.841142901690187
28,1992-05,13.86,15.78689818218274
29,1992-06,13.35,15.456879169553467
30,1992-07,13.17,14.395160378596218
31,1992-08,13.58,14.411417053811203
32,1992-09,14.28,14.078736256314437
33,1992-10,16.15,15.834440760922368
34,1992-11,13.01,14.934768504069671
35,1992-12,12.57,13.402848974682545
36,1993-01,12.42,12.829515723878833
37,1993-02,13.16,13.319406781028318
38,1993-03,12.53,13.404815085558463
39,1993-04,12.42,13.094880196243725
40,1993-05,13.47,13.379446553897804
41,1993-06,11.26,12.82182115192422
42,1993-07,11.73,12.0948753691431
43,1993-08,11.85,12.0042620250234
44,1993-09,12.99,12.50825923777762
45,1993-10,11.46,12.146907146136463
46,1993-11,13.76,13.199588265923563
47,1993-12,11.66,12.014672023862186
48,1994-01,10.63,11.605988021386338
49,1994-02,14.87,12.742425482830209
50,1994-03,20.45,14.133204101929866
51,1994-04,13.77,15.173763877575336
52,1994-05,13.03,14.356687352445423
53,1994-06,14.97,13.962682417060313
54,1994-07,11.13,13.131009827101474
55,1994-08,11.97,12.453165591784595
56,1994-09,14.28,12.925055924340946
57,1994-10,14.56,14.12749176163017
58,1994-11,15.95,15.423421307961286
59,1994-12,13.2,14.520059891568932
60,1995-01,11.96,13.275978362729266
61,1995-02,11.75,12.393002247743896
62,1995-03,13.37,12.252728856027192
63,1995-04,11.75,12.293218008911868
64,1995-05,12.85,12.27360518352834
65,1995-06,11.38,12.021305071410557
66,1995-07,13.49,12.308570564598183
67,1995-08,11.52,12.527653495673329
68,1995-09,12.74,12.324509650075628
69,1995-10,13.83,13.395503092807388
70,1995-11,11.58,12.83208683156047
71,1995-12,12.52,12.29107185610802
72,1996-01,12.53,12.869913851459454
73,1996-02,17.04,14.102704143556908
74,1996-03,18.88,16.0275275526299
75,1996-04,15.83,16.206108136993354
76,1996-05,16.07,16.137393997789392
77,1996-06,13.68,16.20248286981677
78,1996-07,19.46,17.33059109410808
79,1996-08,17.01,16.430054196476316
80,1996-09,16.95,16.457660488955547
81,1996-10,18.11,16.506032669424275
82,1996-11,17.14,16.256684468356706
83,1996-12,20.92,17.886374836943645
84,1997-01,19.47,18.760923577940034
85,1997-02,21.1,19.46120278076259
86,1997-03,22.14,19.855425907556906
87,1997-04,20.06,19.780619051548825
88,1997-05,19.19,19.75638880443819
89,1997-06,21.53,20.049092089919622
90,1997-07,21.48,20.370608225528755
91,1997-08,24.76,21.89148822435971
92,1997-09,22.91,22.829177430836534
93,1997-10,35.09,23.92278763539487
94,1997-11,27.43,27.667770291508116
95,1997-12,24.01,27.135365028794915
96,1998-01,21.47,25.198413013497536
97,1998-02,18.55,22.512955350023827
98,1998-03,24.22,21.419262879216284
99,1998-04,21.18,21.726412883355092
100,1998-05,21.32,21.229263387595086
101,1998-06,19.71,21.37694579049877
102,1998-07,24.8,20.822348227014448
103,1998-08,44.28,26.73306839578625
