Country,observations,mean,std,min,max,explained_var
AUT,233,-0.0,1.0,-1.699,4.011,0.22623997671150242
BEL,289,0.0,1.0,-2.243,3.287,0.22171103734162756
CAN,346,-0.0,1.0,-3.047,3.337,0.24564108618749786
CHE,140,0.0,1.0,-3.224,1.48,0.24258567966855765
CHL,215,-0.0,1.0,-1.607,3.281,0.24130331092916954
COL,248,0.0,1.0,-2.878,1.573,0.21311855053006587
CZE,177,0.0,1.0,-1.938,1.765,0.23839220108203993
DEU,347,-0.0,1.0,-1.479,2.614,0.2650507093461767
DNK,249,-0.0,1.0,-1.945,3.402,0.21483397945567648
ESP,343,-0.0,1.0,-2.301,1.624,0.2244161975005674
FIN,277,-0.0,1.0,-3.607,1.683,0.20802295947290683
FRA,347,-0.0,1.0,-2.578,3.112,0.21796566185097593
GBR,243,-0.0,1.0,-2.094,2.474,0.24135168411830152
GRC,317,-0.0,1.0,-2.473,2.718,0.22599822546987341
HUN,242,-0.0,1.0,-2.419,1.597,0.24073913119015547
IRL,245,0.0,1.0,-3.164,1.608,0.22384917864952653
ISR,232,-0.0,1.0,-2.223,2.011,0.23584039963173534
ITA,221,0.0,1.0,-2.981,1.484,0.22282157999230207
JPN,313,-0.0,1.0,-3.427,2.091,0.23528853223690727
KOR,240,0.0,1.0,-1.986,3.942,0.22715106870149357
LUX,291,-0.0,1.0,-1.15,3.625,0.20355478411754607
MEX,208,-0.0,1.0,-2.026,2.532,0.263040550187505
NLD,293,0.0,1.0,-2.802,2.34,0.2271742661370225
NOR,231,0.0,1.0,-1.691,3.091,0.21798497573621423
POL,205,0.0,1.0,-1.773,3.099,0.22586794954370235
PRT,299,-0.0,1.0,-3.281,1.682,0.20734958197563627
SWE,302,0.0,1.0,-3.61,2.725,0.2400721406474678
USA,347,-0.0,1.0,-2.301,1.808,0.2906020937422192
